Year,District,Subject,FAY Students (reported range),Proficiency %,Participation %,Median Growth Percentile
2022,Londonderry,Mathematics,"1,940 - 1,945",45.0,89.0,47.0
2022,Londonderry,Reading,"1,935 - 1,940",56.0,89.0,47.0
2022,Londonderry,Science,880 - 885,31.0,87.0,
2022,Portsmouth,Mathematics,"1,135 - 1,140",64.0,94.0,52.0
2022,Portsmouth,Reading,"1,125 - 1,130",76.0,94.0,57.0
2022,Portsmouth,Science,520 - 525,46.0,88.0,
2022,Bedford,Mathematics,"2,220 - 2,225",73.0,97.0,55.0
2022,Bedford,Reading,"2,210 - 2,215",77.0,96.0,54.0
2022,Bedford,Science,935 - 940,56.0,92.0,
2022,Rochester,Science,670 - 675,23.0,83.0,
2022,Concord,Reading,"1,905 - 1,910",43.0,96.0,47.0
2022,Concord,Science,835 - 840,29.0,90.0,
2022,Rochester,Mathematics,"1,685 - 1,690",24.0,88.0,42.0
2022,Rochester,Reading,"1,680 - 1,685",30.0,87.0,41.0
2022,Concord,Mathematics,"1,915 - 1,920",30.0,96.0,51.0
2022,Manchester,Mathematics,"5,370 - 5,375",16.0,89.0,45.0
2022,Manchester,Reading,"5,325 - 5,330",28.0,89.0,45.0
2022,Manchester,Science,"2,030 - 2,035",16.0,80.0,
2022,Nashua,Mathematics,"4,095 - 4,100",32.0,84.0,52.0
2022,Nashua,Reading,"4,085 - 4,090",41.0,84.0,50.0
2022,Nashua,Science,"1,415 - 1,420",28.0,67.0,
2023,Concord,Reading,"1,810 - 1,815",46.0,95.0,49.0
2023,Concord,Science,760 - 765,28.0,87.0,
2023,Bedford,Mathematics,"2,210 - 2,215",74.0,97.0,50.0
2023,Bedford,Reading,"2,200 - 2,205",79.0,97.0,53.0
2023,Bedford,Science,925 - 930,61.0,92.0,
2023,Manchester,Mathematics,"5,410 - 5,415",19.0,92.0,50.0
2023,Manchester,Reading,"5,365 - 5,370",28.0,92.0,45.0
2023,Manchester,Science,"2,110 - 2,115",14.0,88.0,
2023,Rochester,Mathematics,"1,755 - 1,760",26.0,92.0,45.0
2023,Concord,Mathematics,"1,810 - 1,815",32.0,95.0,51.0
2023,Rochester,Reading,"1,720 - 1,725",34.0,90.0,46.0
2023,Rochester,Science,745 - 750,25.0,84.0,
2023,Londonderry,Mathematics,"1,810 - 1,815",44.0,88.0,48.0
2023,Londonderry,Reading,"1,805 - 1,810",57.0,88.0,49.0
2023,Londonderry,Science,790 - 795,35.0,87.0,
2023,Nashua,Mathematics,"4,205 - 4,210",34.0,87.0,52.0
2023,Nashua,Reading,"4,165 - 4,170",42.0,87.0,51.0
2023,Nashua,Science,"1,420 - 1,425",27.0,65.0,
2023,Portsmouth,Mathematics,"1,135 - 1,140",64.0,95.0,52.0
2023,Portsmouth,Reading,"1,125 - 1,130",76.0,94.0,53.0
2023,Portsmouth,Science,515 - 520,55.0,90.0,
2024,Bedford,Mathematics,"2,130 - 2,135",69.0,97.0,47.0
2024,Bedford,Reading,"2,120 - 2,125",76.0,97.0,50.0
2024,Bedford,Science,915 - 920,51.0,92.0,
2024,Concord,Mathematics,"1,795 - 1,800",36.0,95.0,56.0
2024,Concord,Reading,"1,795 - 1,800",51.0,95.0,55.0
2024,Concord,Science,775 - 780,34.0,88.0,
2024,Londonderry,Mathematics,"1,875 - 1,880",46.0,89.0,53.0
2024,Londonderry,Reading,"1,865 - 1,870",56.0,89.0,48.0
2024,Londonderry,Science,745 - 750,28.0,84.0,
2024,Manchester,Mathematics,"5,525 - 5,530",19.0,94.0,46.0
2024,Manchester,Reading,"5,475 - 5,480",29.0,94.0,45.0
2024,Manchester,Science,"2,160 - 2,165",15.0,88.0,
2024,Nashua,Mathematics,"4,270 - 4,275",34.0,89.0,51.0
2024,Nashua,Reading,"4,215 - 4,220",44.0,89.0,50.0
2024,Nashua,Science,"1,590 - 1,595",27.0,72.0,
2024,Portsmouth,Mathematics,"1,095 - 1,100",66.0,94.0,54.0
2024,Portsmouth,Reading,"1,095 - 1,100",76.0,94.0,54.0
2024,Portsmouth,Science,450 - 455,56.0,81.0,
2024,Rochester,Mathematics,"1,685 - 1,690",24.0,90.0,44.0
2024,Rochester,Reading,"1,685 - 1,690",37.0,90.0,47.0
2024,Rochester,Science,675 - 680,20.0,79.0,
2022,New Hampshire,Mathematics,"82,315 - 82,320",40.0,92.0,50.0
2022,New Hampshire,Reading,"81,935 - 81,940",51.0,92.0,50.0
2022,New Hampshire,Science,"33,490 - 33,495",37.0,86.0,
2023,New Hampshire,Mathematics,"80,965 - 80,970",42.0,94.0,50.0
2023,New Hampshire,Reading,"80,660 - 80,665",52.0,94.0,50.0
2023,New Hampshire,Science,"33,090 - 33,095",37.0,88.0,
2024,New Hampshire,Mathematics,"79,505 - 79,510",41.0,95.0,50.0
2024,New Hampshire,Reading,"79,045 - 79,050",53.0,94.0,50.0
2024,New Hampshire,Science,"32,420 - 32,425",36.0,89.0,
